 500 30 500 44 4 11 5682 200 36.8357697 T 0.0 21806
 500 30 500 44 4 11 5682 200 39.1377411 F 0.0 21676
 500 30 500 44 4 11 5682 200 36.7229347 T 0.5 21806
 500 30 500 44 4 11 5682 200 39.2712555 F 0.5 21676
 500 30 500 44 4 11 5682 200 35.6993256 T 1.0 21806
 500 30 500 44 4 11 5682 200 39.3954849 F 1.0 21676
 500 30 500 44 4 11 5682 200 36.958046 T 0.5 2. 113191
 500 30 500 44 4 11 5682 200 39.0788307 F 0.5 2. 112459
 500 30 500 44 4 11 5682 200 37.1741028 T 0.5 4. 234796
 500 30 500 44 4 11 5682 200 39.0722122 F 0.5 4. 234331
 500 30 500 44 4 11 5682 200 36.7217026 T 0.5 8. 474691
 500 30 500 44 4 11 5682 200 39.0400772 F 0.5 8. 473222
 500 30 500 44 4 11 5682 200 36.6393623 T 0.5 16. 950288
 500 30 500 44 4 11 5682 200 39.5719948 F 0.5 16. 949720
 500 30 500 44 4 11 5682 200 36.6515503 T 0.5 32. 1884638
 500 30 500 44 4 11 5682 200 39.8054161 F 0.5 32. 1885520
 500 30 500 44 4 11 5682 200 36.4785919 T 0.5 64. 3730990
 500 30 500 44 4 11 5682 200 39.5460625 F 0.5 64. 3730208
 500 30 500 44 4 11 5682 200 36.1917915 T 0.5 128. 7316457
 500 30 500 44 4 11 5682 200 39.3984489 F 0.5 128. 7315945
 500 30 500 44 4 11 5682 200 36.1660194 T 0.5 256. 13178155
 500 30 500 44 4 11 5682 200 38.7235184 F 0.5 256. 13266231
